Subject,Session,Force,IsOutlier,Object,Target,Ideal,IdealInterp
1,1,409.38741401248,0,5,2,556.153923683186,556.153923683186
1,1,522.048963178742,0,5,2,613.858957834243,613.858957834243
1,1,500.735517632648,0,5,2,508.028262525891,508.028262525891
1,1,395.172491105015,0,5,3,556.032080437515,556.032080437515
1,1,488.005103637999,0,5,3,526.412503315749,526.412503315749
1,1,289.731586341091,0,5,3,543.444424696774,543.444424696774
1,1,469.932341656838,0,5,3,522.310242868104,522.310242868104
1,1,483.76809349327,0,5,3,492.196531781874,492.196531781874
1,1,445.965848859853,0,5,3,459.919013586316,459.919013586316
1,1,435.631327350314,0,5,3,427.107678349732,427.107678349732
1,1,380.291630684954,0,5,3,411.14151565011,411.14151565011
1,1,279.517382032335,0,5,3,326.800202890803,326.800202890803
1,1,388.926052704227,0,5,3,340.35119908043,340.35119908043
1,2,340.198027230702,0,3,1,611.825715180667,488.158815303723
1,2,495.643486932284,0,3,1,447.054327946489,356.692282936029
1,2,455.268814366163,0,3,1,500.275732215385,399.156169320786
1,2,540.36689010598,0,3,1,452.084833399198,360.705984095105
1,2,347.627261279922,0,3,1,548.242159455414,437.427254884639
1,2,456.365508780229,0,3,1,510.90173869402,407.634365979271
1,2,323.742459351138,0,3,1,489.424728708253,390.498453756585
1,2,360.254358032594,0,3,1,631.666958849833,503.989594826994
1,2,360.642727320093,0,3,1,515.389085473147,411.214695856234
1,2,492.343973127141,0,3,1,501.830066672079,400.396329791552
1,2,371.677897767882,0,1,2,320.608827988488,320.608827988488
1,2,293.20223868657,0,1,2,312.465591390171,312.465591390171
1,2,431.577957292631,0,1,2,267.725762125892,267.725762125892
1,2,303.312661690582,0,1,2,329.267662942875,329.267662942875
1,2,400.450293327767,0,1,2,293.266353751555,293.266353751555
1,2,382.508191313394,0,1,2,311.611826328563,311.611826328563
1,2,297.482874295021,0,1,2,285.464703881293,285.464703881293
1,2,307.263542481122,0,1,2,295.02977318583,295.02977318583
1,2,348.144206470106,0,1,2,304.345230267724,304.345230267724
1,2,411.663468199627,0,1,2,286.364912892779,286.364912892779
1,2,452.917435928537,0,2,2,321.995409362478,321.995409362478
1,2,386.376320596541,0,2,2,378.861372117272,378.861372117272
1,2,395.449465285475,0,2,2,395.855576763129,395.855576763129
1,2,401.831386699142,0,2,2,285.590051854316,285.590051854316
1,2,363.74877837287,0,2,2,402.157889360988,402.157889360988
1,2,344.196987728848,0,2,2,357.220309871884,357.220309871884
1,2,381.426777049901,0,2,2,287.504369865872,287.504369865872
1,2,352.520455792832,0,2,2,364.773608369837,364.773608369837
1,2,372.978201887062,0,2,2,356.329180184836,356.329180184836
1,2,448.981405033006,0,2,2,329.364610083653,329.364610083653
1,2,415.448076824102,0,3,2,609.360206047216,486.191653761077
1,2,655.043935128888,0,3,2,401.513404813391,320.356440010684
1,2,307.258907918748,0,3,2,582.509821294494,464.768474437096
1,2,382.576059855951,0,3,2,536.100002316203,427.739363550162
1,2,350.079893927983,0,3,2,414.4449098209,330.67413017625
1,2,301.325962167995,0,3,2,539.887955127509,430.76166632514
1,2,452.98377332074,0,3,2,459.256638869602,366.428169310853
1,2,504.709883850073,0,3,2,522.106527043931,416.574356683988
1,2,410.888182287804,0,3,2,521.545292497322,416.126563162757
1,2,407.813134570122,0,3,2,524.838131559657,418.753828372066
1,2,472.143337483051,0,4,2,425.198033425277,425.198033425277
1,2,261.386651978992,0,4,2,445.993558914042,445.993558914042
1,2,467.661788388019,0,4,2,436.348652049887,436.348652049887
1,2,330.322364385858,0,4,2,467.220745246202,467.220745246202
1,2,493.040374384267,0,4,2,393.361920258267,393.361920258267
1,2,437.589730354974,0,4,2,514.133798679336,514.133798679336
1,2,397.612715544196,0,4,2,499.181452605626,499.181452605626
